Scenario,ScenarioCompleted,GoalReached,Collision,SafeTermination,TerminationReason,SimulationTime,CompletionTime,FinalGoalError,Distance,InitialPathLength,Replans,SuccessfulReplans,FailedReplans,MeanReplanLatencyMs,MedianReplanLatencyMs,MaxReplanLatencyMs,MeanSpeed,MaxSpeed,MinActorDistance,MeanRisk,MaxRisk,MinRisk,RiskRange,NormalTime,CautiousTime,StopTime,StateTransitions,Stops,ActivePathUnsafeFrames,UnsafeMovingFrames,PlannerInvocations,PathChangeCount,RMSSteering,CumulativeSteeringChange,MinimumSpeedScale,MaximumSafetyScale,ReplanRequestedEvents,PeakActorRisk,HighestRiskActorID,HighestRiskActorClass
Unmarked Village Road,1,1,0,0,Goal reached.,22.8,22.8,0.749030789144988,84.7966666666666,85,7,7,0,26.7808214285714,19.8652083333333,79.032375,3.70376811594203,3.9,12.7775840398425,0.572482531152414,0.647098836052511,0.489238394916185,0.157860441136327,0,23,0,0,1,0,0,8,7,0.089380235711671,1.6000348013455,0.65,1.2,0,0.647098836052511,301,pushcart
Unsignalized Urban Intersection,1,1,0,0,Goal reached.,21.8,21.8,0.400850077861753,100.0175,100,5,5,2,90.641494047619,24.916125,270.473916666667,4.56840909090909,4.875,15.6620404086992,0.58533051132042,0.694479041403737,0.406211185375125,0.288267856028612,0,22,0,0,1,0,0,8,5,0.0447231918241613,0.962352427362976,0.65,1.2,0,0.495384095707956,402,auto
Highway Slow-Vehicle Merge,1,1,0,0,Goal reached.,19.6,19.6,0.707499999999982,89.2925,90,6,6,0,15.0025069444444,15.3421875,22.8011666666667,4.53434343434343,4.87499999999998,7.00307477099527,0.598403507961598,0.697764620398456,0.480496323193559,0.217268297204898,0,19.8,0,0,1,0,0,7,6,0,0,0.65,1.2,0,0.4591271174056,501,car
Dense Mixed-Traffic Market,0,0,0,1,Maximum simulation time reached safely.,34.1999999999999,NaN,53.819975692588,36.6999999984578,90,27,27,0,21.1174938271605,19.9879166666667,35.5736666666667,1.07309941515959,3.24999999228908,29.3393709149601,0.626304858473181,0.705157703490504,0.449502163581085,0.255655539909419,0,11.6,22.6,1,2,0,0,28,6,0.0570844203703455,1.16125652864756,0.25,1.5,113,0.563969261179473,601,pedestrian
Sudden Cattle Crossing,1,1,0,0,Goal reached.,20.6,20.6,0.823986469414709,95.9291666666667,95,6,6,0,15.7775625,15.0187708333333,36.8940833333333,4.63541666666667,6.4,13.5838654976762,0.526374426330222,0.695394478966892,0.337048230101665,0.358346248865226,3.2,17.6,0,1,1,0,0,7,6,0.0919633143986354,2.19687988689693,0.65,1.2,0,0.695394478966892,701,cattle
