Scenario,ScenarioCompleted,GoalReached,Collision,SafeTermination,TerminationReason,SimulationTime,CompletionTime,FinalGoalError,Distance,InitialPathLength,Replans,SuccessfulReplans,FailedReplans,MeanReplanLatencyMs,MedianReplanLatencyMs,MaxReplanLatencyMs,MeanSpeed,MaxSpeed,MinActorDistance,MeanRisk,MaxRisk,MinRisk,RiskRange,NormalTime,CautiousTime,StopTime,StateTransitions,Stops,ActivePathUnsafeFrames,UnsafeMovingFrames,PlannerInvocations,PathChangeCount,RMSSteering,CumulativeSteeringChange,MinimumSpeedScale,MaximumSafetyScale,ReplanRequestedEvents,PeakActorRisk,HighestRiskActorID,HighestRiskActorClass
Unmarked Village Road,1,1,0,0,Goal reached.,19.6,19.6,0.717329055934824,86.6404708341917,85,15,15,0,19.3257861111111,18.5500833333333,51.2995416666667,4.4060207715698,5.99904249280443,11.2931073547702,0.334491050808781,0.656296721939051,0.0392402543853272,0.617056467553724,9.6,10.2,0,2,1,0,0,16,15,0.154991986756227,2.95426237829199,0.65,1.2,0,0.656296721939051,301,pushcart
Unsignalized Urban Intersection,0,0,0,1,Safely stopped after repeated planning failures.,11,NaN,42.9069040572823,61.5127829393966,61.2938678838718,11,11,6,44.9829134615385,24.3268333333333,262.082333333333,5.50979872092638,7.49477768233906,8.52391617798881,0.206587525597743,0.428793352571609,0.0348139115481173,0.393979441023491,8.6,2.6,0,3,1,6,6,19,11,0.0702418133848951,1.76082812287895,0.65,1.2,0,0.382100456191276,401,car
Highway Slow-Vehicle Merge,1,1,0,0,Goal reached.,17.2,17.2,0.45474065577298,90.454740655773,90,7,7,0,18.1891666666667,18.8070416666667,23.83375,5.2414853612217,7.478249405827,7.00894685068509,0.317585219940157,0.65773612416858,0.108215472807603,0.549520651360977,8,9.4,0,4,1,0,0,8,7,1.8381428577608e-17,1.71450551880629e-16,0.65,1.2,0,0.448406606014131,501,car
Dense Mixed-Traffic Market,1,1,0,0,Goal reached.,22.6,22.6,0.814836045665095,90.4470385368001,90,9,9,0,19.376962962963,23.7172083333333,31.9047083333333,3.98890464027563,4.99987261484387,13.054856004852,0.252615244294716,0.654911149874324,0.0406973402258818,0.614213809648442,13.8,9,0,8,1,0,0,10,9,0.0976877299251553,2.38886136641649,0.65,1.2,0,0.639368288487304,601,pedestrian
Sudden Cattle Crossing,1,1,0,0,Goal reached.,17.8,17.8,0.746113228640459,96.8810174417714,95,8,8,0,12.8233645833333,13.4721041666667,21.1629166666667,5.42389955509167,7.49477768233906,12.1314588390968,0.287431289434494,0.703692431603923,0.0313425119939006,0.672349919610022,10,7.8,0.2,4,1,0,0,9,8,0.132851493332134,2.81188868269167,0.25,1.5,1,0.703692431603923,701,cattle
