Scenario,Mode,GoalReached,SafeTermination,Collision,OutcomeClass,MinimumActorDistance,CompletionTime,SimulationTime,DistanceTravelled,Replans,FailedReplans,PathChanges,MeanSpeed,MaximumRisk,TimeStopped,RMSSteering,CumulativeSteeringChange,MeanPlannerLatencyMs,MaximumAdaptiveEnvelopeScale,UsesAdaptiveEnvelope,CollisionCheckingRetained,WallClockSeconds,FiniteRun
Unsignalized Urban Intersection,ACARG_ENHANCED,0,1,0,SAFE_TERMINATION,8.52391617798881,NaN,11,61.5127829393966,11,6,11,5.50979872092638,0.428793352571609,0.2,0.0702418133848951,1.76082812287895,35.7861293859649,1.8877808211443,1,1,4.76134116666667,1
Unsignalized Urban Intersection,FIXED_MARGIN_BASELINE,0,1,0,SAFE_TERMINATION,6.54806743549866,NaN,10.8,65.3366652776648,13,5,13,5.97878769839802,0.4690115158335,0.2,0.0835757890873276,1.80304676292747,25.2941315789474,1,0,1,3.64623479166667,1
Highway Slow-Vehicle Merge,ACARG_ENHANCED,1,0,0,GOAL_REACHED,7.00894685068509,17.2,17.2,90.454740655773,7,0,7,5.2414853612217,0.65773612416858,0.2,1.8381428577608e-17,1.71450551880629e-16,14.5301041666667,2.00713189082544,1,1,4.649164375,1
Highway Slow-Vehicle Merge,FIXED_MARGIN_BASELINE,1,0,0,GOAL_REACHED,7.01666384526436,13.8,13.8,89.1166666705118,4,0,4,6.41904761927381,0.672031556216304,0.2,0,0,11.5474833333333,1,0,1,2.82358895833333,1
Dense Mixed-Traffic Market,ACARG_ENHANCED,1,0,0,GOAL_REACHED,13.054856004852,22.6,22.6,90.4470385368001,9,0,9,3.98890464027563,0.654911149874324,0.2,0.0976877299251553,2.38886136641649,17.7702083333333,2.35086291927715,1,1,7.61984425,1
Dense Mixed-Traffic Market,FIXED_MARGIN_BASELINE,1,0,0,GOAL_REACHED,13.3997674534442,19.6,19.6,91.4333333333334,6,0,6,4.64309764309764,0.71569853895284,0.2,0.0975645574814594,2.09798007109291,14.9511547619048,1,0,1,6.36702070833333,1
Sudden Cattle Crossing,ACARG_ENHANCED,1,0,0,GOAL_REACHED,12.1314588390968,17.8,17.8,96.8810174417714,8,0,8,5.42389955509167,0.703692431603923,0.2,0.132851493332134,2.81188868269167,12.4686759259259,3.08330797110883,1,1,3.06042754166667,1
Sudden Cattle Crossing,FIXED_MARGIN_BASELINE,0,1,0,SAFE_TERMINATION,6.37253386256832,NaN,11.4,69.836666190239,7,5,7,6.05747120569446,0.717327089891674,0.2,0.0820476496294945,1.91484273062246,9.40210256410256,1,0,1,2.00419104166667,1
