Scenario,OutcomeClass,FailureClassification,GoalReached,SafeTermination,Collision,CollisionFree,MinimumActorDistance,MinimumPredictedCPADistance,MinimumTimeToCPA,ActivePathUnsafeMovingFrames,FailedReplanUnsafeContinuationCount,ConservativeStopEvents,CompletionTime,SimulationTime,DistanceTravelled,InitialPathLength,PathLengthOverStraightLineRatio,Replans,FailedReplans,PathChanges,MeanSpeed,MaximumSpeed,TimeStopped,TimeInNORMAL,TimeInCAUTIOUS,TimeInCONSERVATIVE_STOP,RMSSteering,MaximumAbsoluteSteering,CumulativeAbsoluteSteeringChange,MeanAbsoluteSteeringRateProxy,CumulativeAbsoluteHeadingChange,MeanPathCurvature,MaximumRisk,MeanRisk,RiskRange,StateSequence,StateTransitions,MinimumSpeedScale,MaximumSafetyScale,ReplanRequestedEvents,DominantActorChanges,MaximumActorRisk,MaximumAdaptiveEnvelopeScale,RiskSpeedCorrelation,MeanReplanningLatencyMs,MedianReplanningLatencyMs,P95ReplanningLatencyMs,MaximumReplanningLatencyMs,PlannerInvocationCount,TotalPlanningTimeMs,RunWallClockSeconds,EquivalentMeanFrameWallClockMs,RealTimeFactor
Unmarked Village Road,GOAL_REACHED,none,1,0,0,1,11.2931073547702,0.70655304477917,3.90599840594561,0,0,0,19.6,19.6,86.6404708341917,85,1.01929965687284,15,0,15,4.4060207715698,5.99904249280443,0.2,9.6,10.2,0,0.154991986756227,0.501758312822266,2.95426237829199,0.150727672361836,2.42559223511355,0.0313486080511147,0.656296721939051,0.334491050808781,0.617056467553724,NORMAL -> CAUTIOUS,2,0.65,1.2,0,0,0.656296721939051,2.38133409949029,0.0766245271093659,37.6718515625,23.8188333333333,106.714385416667,224.190541666667,16,602.749625,4.92153270833333,49.7124515993266,3.98249918502268
Unsignalized Urban Intersection,SAFE_TERMINATION,none,0,1,0,1,8.52391617798881,0.182166986981397,3.65162965946558,6,0,0,NaN,11,61.5127829393966,61.2938678838718,0.615127829393966,11,6,11,5.50979872092638,7.49477768233906,0.2,8.6,2.6,0,0.0702418133848951,0.29955521439771,1.76082812287895,0.160075283898086,0.866543277262431,0.0117946667178235,0.428793352571609,0.206587525597743,0.393979441023491,NORMAL -> CAUTIOUS,3,0.65,1.2,0,0,0.382100456191276,1.8877808211443,0.45508866359941,37.7625394736842,23.8465833333333,90.7267416666662,294.146541666667,19,717.48825,3.90458795833333,69.7247849702381,2.8171986692023
Highway Slow-Vehicle Merge,GOAL_REACHED,none,1,0,0,1,7.00894685068509,1.18445640962483,40.1698630136987,0,0,0,17.2,17.2,90.454740655773,90,1.00505267395303,7,0,7,5.2414853612217,7.478249405827,0.2,8,9.4,0,1.8381428577608e-17,1.71450551880629e-16,1.71450551880629e-16,9.96805534189706e-18,0,0,0.65773612416858,0.317585219940157,0.549520651360977,NORMAL -> CAUTIOUS,4,0.65,1.2,0,8,0.448406606014131,2.00713189082544,0.0112540679769506,15.8346979166667,16.783375,22.7260645833333,23.012,8,126.677583333333,3.47709116666667,39.9665651340996,4.94666351141113
Dense Mixed-Traffic Market,GOAL_REACHED,none,1,0,0,1,13.054856004852,1.39068229293803,7.89150060658129,0,0,0,22.6,22.6,90.4470385368001,90,1.00496709485333,9,0,9,3.98890464027563,4.99987261484387,0.2,13.8,9,0,0.0976877299251553,0.375695462682325,2.38886136641649,0.105701830372411,1.38838481133703,0.0162980651254578,0.654911149874324,0.252615244294716,0.614213809648442,NORMAL -> CAUTIOUS,8,0.65,1.2,0,0,0.639368288487304,2.35086291927715,-0.082545983732662,25.6194583333333,25.3747708333333,39.5736645833333,45.4707083333333,10,256.194583333333,7.27177491666667,63.7874992690058,3.10790697718125
Sudden Cattle Crossing,GOAL_REACHED,none,1,0,0,1,12.1314588390968,0.204018018204832,5.12194024679038,0,0,1,17.8,17.8,96.8810174417714,95,1.01980018359759,8,0,8,5.42389955509167,7.49477768233906,0.2,10,7.8,0.2,0.132851493332134,0.472069919026315,2.81188868269167,0.157971274308521,2.16911513185431,0.0235688497431335,0.703692431603923,0.287431289434494,0.672349919610022,NORMAL -> CAUTIOUS -> CONSERVATIVE_STOP,4,0.25,1.5,1,0,0.703692431603923,3.08330797110883,0.0324870141060883,14.2737592592593,16.2007916666667,22.633375,23.1030416666667,9,128.463833333333,2.91132295833333,32.3480328703704,6.11405888482742
