DetectionConfidence,MeasurementStd,TrustScore,Uncertainty,ActorRisk,AdaptiveScale,GovernorState
0.95,0.175,0.980515873015873,0.005,0.550604240234285,2.19108763242171,CAUTIOUS
0.8,0.4,0.922248062015504,0.02,0.578079669359423,2.24054340484696,CAUTIOUS
0.6,0.7,0.837686703096539,0.06125,0.625258928954035,2.32546607211726,CAUTIOUS
0.4,1,0.748333333333333,0.125,0.682672692615237,2.42881084670743,CAUTIOUS
