Scenario,Disturbance,GoalReached,Collision,SafeTermination,TerminationReason,SimulationTime,DistanceTravelled,MinimumActorDistance,MaximumRisk,MeanRisk,RiskRange,StateTransitions,StateSequence,NormalTime,CautiousTime,StopTime,Replans,FailedReplans,PathChanges,ReplanRequests,MinimumSpeed,MeanSpeed,MaximumSpeed,DominantActorChanges,MinimumTransitionInterval,ActivePathUnsafeMovingFrames,UnsafeResidualBrakingFrames,RecoveryOccurred,RecoveryTime,FiniteOutputs
Confidence Drop,confidence-drop,1,0,0,Goal reached.,15.6,70.6133901268705,12.3358753712857,0.640793046147539,0.292749799837609,0.56732297980929,2,NORMAL -> CAUTIOUS -> NORMAL,9.4,6.4,0,5,0,5,0,0,4.50717604964564,5.99991457530662,0,6.4,0,0,1,7,1
Temporary Detection Loss,detection-loss,1,0,0,Goal reached.,15.6,72.9461012415849,10.4856715150593,0.589460860019722,0.255603175836656,0.532425386073128,4,NORMAL -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL,10.6,5.2,0,7,0,7,1,0,4.65481618358633,5.99994459078986,0,1,0,0,1,5,1
Sudden Direction Reversal,direction-reversal,0,0,1,Maximum simulation time reached safely.,24.1999999999999,97.3547000263648,6.35814877484058,0.693108548079365,0.282735064519952,0.626222038302311,2,NORMAL -> CAUTIOUS -> NORMAL,11.2,13,0,38,12,38,0,0,3.9981282741641,5.99993987990879,0,13,0,12,1,12.2,1
Multiple Simultaneous Risks,multiple-risks,1,0,0,Goal reached.,25.9999999999999,83.9138944382258,7.766703776783,0.693594355385676,0.304122318576088,0.587412950193224,2,NORMAL -> CAUTIOUS -> NORMAL,9.8,16.4,0,16,34,16,0,0,3.22572110694637,5.99998563769042,5,16.4,0,13,1,25.9999999999999,1
Temporary Path Obstruction,temporary-obstruction,1,0,0,Goal reached.,20,79.5150175236761,14.0031224611472,0.476748517225622,0.195049436603743,0.448178358226668,8,NORMAL -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL,17,3.2,0,13,0,13,0,0,3.95866373178856,4.4999999318366,0,0.199999999999999,0,0,1,8.2,1
Replan Failure Recovery,replan-failure,1,0,0,Goal reached.,27.9999999999999,95.5117732727128,18.0968007606369,0.660308058848543,0.380710005664715,0.592474477346953,2,NORMAL -> CAUTIOUS -> NORMAL,10,18.2,0,7,9,7,0,0,3.40467280671187,4.99999876561927,8,18.2,0,8,1,9,1
Conservative Stop Recovery,stop-recovery,0,0,1,Maximum simulation time reached safely.,26.1999999999999,82.5148410168032,8.00733673408577,0.756940188300169,0.394116213446133,0.624983609301528,8,NORMAL -> CAUTIOUS -> CONSERVATIVE_STOP -> CAUTIOUS -> CONSERVATIVE_STOP -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL,7.4,17.2,1.6,23,29,23,8,0,3.12653058645923,5.99628073673493,2,0.199999999999999,0,15,1,8.4,1
Rapid Risk Fluctuation,risk-fluctuation,1,0,0,Goal reached.,16.8,72.633822833853,8.89725898655385,0.659536613136371,0.268527231242373,0.585689533197251,4,NORMAL -> CAUTIOUS -> NORMAL -> CAUTIOUS -> NORMAL,8.2,8.8,0,10,0,10,0,0,4.30784651802137,5.99567972510269,0,1,0,0,1,16.8,1
