Geometry,ActorID,PhysicalDistance,CPADistance,CPATime,IsClosing,DistanceRisk,CollisionRisk,ActorRisk
Closer moving away,911,10,10,0,0,0.716531310573789,0.135335283236613,0.190027878831773
Farther collision course,912,18.9736659610103,0,4.5,1,0.531285609132968,1,0.412378153572625
